,Date,%,Country,Region,Source,Pct,Network Pct,MWh,Regional Energy Consumption,Fossil Fuel,Pounds CO2 per MWh,Tons of CO2
50,2020-01-31 00:00:00+00:00,0.21,China,Nei Mongol,Hydro,0.005,0.00105,2888203.9831851223,3032.614182344378,0,0.0,0.0
51,2020-01-31 00:00:00+00:00,0.21,China,Nei Mongol,Nuclear,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
52,2020-01-31 00:00:00+00:00,0.21,China,Nei Mongol,Oil,0.0,0.0,2888203.9831851223,0.0,Oil,2130.0,0.0
53,2020-01-31 00:00:00+00:00,0.21,China,Nei Mongol,Other renewables,0.15,0.0315,2888203.9831851223,90978.42547033135,0,0.0,0.0
54,2020-01-31 00:00:00+00:00,0.21,China,Nei Mongol,Solar,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
55,2020-01-31 00:00:00+00:00,0.21,China,Nei Mongol,Wind,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
56,2020-01-31 00:00:00+00:00,0.06,China,Sichuan,Coal,0.09900000000000006,0.0059400000000000034,2888203.9831851223,17155.931660119637,Coal,2210.0,17197.719784664274
57,2020-01-31 00:00:00+00:00,0.06,China,Sichuan,Gas,0.0,0.0,2888203.9831851223,0.0,Gas,910.0,0.0
58,2020-01-31 00:00:00+00:00,0.06,China,Sichuan,Hydro,0.8859999999999999,0.05315999999999999,2888203.9831851223,153536.9237461211,0,0.0,0.0
59,2020-01-31 00:00:00+00:00,0.06,China,Sichuan,Nuclear,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
60,2020-01-31 00:00:00+00:00,0.06,China,Sichuan,Oil,0.0,0.0,2888203.9831851223,0.0,Oil,2130.0,0.0
61,2020-01-31 00:00:00+00:00,0.06,China,Sichuan,Other renewables,0.015,0.0009,2888203.9831851223,2599.38358486661,0,0.0,0.0
62,2020-01-31 00:00:00+00:00,0.06,China,Sichuan,Solar,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
63,2020-01-31 00:00:00+00:00,0.06,China,Sichuan,Wind,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
64,2020-01-31 00:00:00+00:00,0.3,China,Xinjiang,Coal,0.7709999999999999,0.23129999999999995,2888203.9831851223,668041.5813107187,Coal,2210.0,669668.7855543507
65,2020-01-31 00:00:00+00:00,0.3,China,Xinjiang,Gas,0.0,0.0,2888203.9831851223,0.0,Gas,910.0,0.0
66,2020-01-31 00:00:00+00:00,0.3,China,Xinjiang,Hydro,0.08599999999999998,0.025799999999999993,2888203.9831851223,74515.66276617613,0,0.0,0.0
